farmer_id,farmer_name,phone,group_id,enrolled_date
F-00093,Simiyu Mutai,+254736691848,G-0010,2023-11-16
F-00094,Were Wanyama,+254748613541,G-0010,2025-06-12
F-00095,Mukamana Simiyu,+254735649775,G-0010,2024-08-20
F-00096,Habimana Wanyama,+254721770369,G-0011,2023-06-30
F-00097,Barasa Omondi,+254713423402,G-0011,2024-10-13
F-00098,Masika Mukamurenzi,+254769262571,G-0011,2023-09-22
F-00099,Odhiambo Wanyama,+254730138051,G-0011,2025-01-17
F-00100,Kirabo Khaemba,+254752312065,G-0011,2025-03-15
F-00101,Ingabire Kagabo,+254790422184,G-0011,2024-11-09
F-00102,Ingabire Sifuna,+254765465291,G-0011,2024-12-06
F-00103,Wanyama Masaba,+254765638309,G-0011,2025-06-06
F-00104,Atieno Otieno,+254747203668,G-0012,2024-06-02
F-00105,Nanjala Owor,+254702244295,G-0012,2023-06-08
F-00106,Wanjiru Nabukenya,+254742783637,G-0012,2023-03-02
F-00107,Ingabire Watulo,+254759752781,G-0012,2023-03-07
F-00108,Amongi Omondi,+254753910853,G-0012,2024-01-05
F-00109,Wafula Simiyu,+254725048530,G-0012,2024-01-20
F-00110,Cheruiyot Juma,+254788736805,G-0012,2024-12-22
F-00111,Kipruto Okello,+254711873642,G-0012,2024-06-22
F-00112,Musimenta Simiyu,+254705764090,G-0012,2023-12-25
F-00113,Namusoke Chemutai,+254788606860,G-0012,2023-10-29
F-00114,Ndayisenga Bizimana,+254749511995,G-0012,2025-02-24
F-00115,Kirabo Kirya,+254705862197,G-0012,2024-09-03
F-00116,Nafula Wanyama,+254766424472,G-0013,2024-06-21
F-00117,Wanjiru Cherop,+254766327261,G-0013,2023-05-17
F-00118,Nabirye Wangila,+254776374037,G-0013,2024-12-29
F-00119,Chelimo Uwimana,+254779501203,G-0013,2024-09-13
F-00120,Niyonzima Barasa,+254769087356,G-0013,2023-07-21
F-00121,Uwase Omondi,+254704066918,G-0013,2024-11-10
F-00122,Nabirye Mukamurenzi,+254764820786,G-0013,2025-03-27
F-00123,Uwase Owor,+254703587674,G-0014,2023-09-11
F-00124,Okello Kiplagat,+254784444367,G-0014,2024-11-11
F-00125,Mugisha Wanyama,+254735787753,G-0014,2025-05-05
F-00126,Cheruiyot Kagabo,+254736971181,G-0014,2023-10-07
F-00127,Wanjiru Mutai,+254776091516,G-0014,2024-03-30
F-00128,Okello Nabukenya,+254797620843,G-0014,2023-04-10
F-00129,Kiptoo Juma,+254742333975,G-0015,2024-08-13
F-00130,Nafula Khaemba,+254747617595,G-0015,2023-05-05
F-00131,Jepkosgei Wafula,+254726177841,G-0015,2023-04-21
F-00132,Amongi Masaba,+254731676290,G-0015,2023-11-19
F-00133,Amongi Uwimana,+254758854967,G-0015,2024-02-05
F-00134,Wasswa Ntawukuriryayo,+254724245371,G-0015,2023-11-08
F-00135,Wekesa Makokha,+254792290757,G-0015,2023-05-11
F-00136,Musimenta Situma,+254700965360,G-0015,2024-07-11
F-00137,Habimana Chemutai,+254743122565,G-0015,2024-08-30
F-00138,Otieno Omondi,+254772987172,G-0015,2023-08-21
F-00139,Kipruto Kiplagat,+254788103206,G-0015,2025-01-19
F-00140,Atieno Wekesa,+254716942472,G-0016,2025-01-27
F-00141,Amongi Kagabo,+254711048093,G-0016,2023-11-19
F-00142,Ingabire Uwimana,+254715219995,G-0016,2024-02-26
F-00143,Niyonzima Cherop,+254751912117,G-0016,2025-05-30
F-00144,Mugisha Namunyu,+254749620997,G-0016,2023-07-21
F-00145,Auma Rotich,+254784080167,G-0016,2025-03-29
F-00146,Auma Situma,+254799425506,G-0017,2024-05-10
F-00147,Odhiambo Ntawukuriryayo,+254748574899,G-0017,2023-12-26
F-00148,Nabirye Situma,+254791371570,G-0017,2024-08-03
F-00149,Mukamana Ntawukuriryayo,+254731869960,G-0017,2024-08-08
F-00150,Ingabire Nsengimana,+254710053874,G-0017,2023-07-31
F-00151,Mugisha Nsengimana,+254783850842,G-0017,2024-10-07
F-00152,Achieng Namulundu,+254786188774,G-0017,2024-04-05
F-00153,Mutesi Wanyama,+254726416519,G-0017,2025-05-21
F-00154,Kipruto Mukamurenzi,+254754434089,G-0017,2023-10-03
F-00155,Twagirayezu Wangila,+254795361300,G-0017,2023-09-22
F-00156,Nekesa Hakizimana,+254769658827,G-0017,2025-06-02
F-00157,Kirabo Namulundu,+254780519613,G-0017,2023-05-04
F-00158,Barasa Cherop,+254782642748,G-0017,2023-11-30
F-00159,Achieng Wekesa,+254767304614,G-0017,2024-07-07
F-00160,Nafula Otieno,+254731120808,G-0018,2024-07-30
F-00161,Kiptoo Chemutai,+254759277007,G-0018,2023-05-31
F-00162,Auma Juma,+254798632387,G-0018,2024-08-25
F-00163,Achieng Okello,+254744502379,G-0018,2025-03-13
F-00164,Jepkosgei Bizimana,+254732214508,G-0018,2024-06-25
F-00165,Barasa Juma,+254771943200,G-0018,2024-08-18
F-00166,Ndayisenga Kiplagat,+254736547012,G-0018,2023-08-19
F-00167,Twagirayezu Mukamurenzi,+254701859485,G-0018,2024-07-21
F-00168,Wasswa Wangila,+254737502960,G-0018,2024-10-08
F-00169,Otieno Namunyu,+254791429672,G-0018,2025-05-23
F-00170,Mukamana Mukamurenzi,+254745696912,G-0018,2025-01-21
F-00171,Nabirye Khaemba,+254737990195,G-0018,2024-12-24
F-00172,Were Namunyu,+254719909331,G-0019,2025-02-08
F-00173,Ndayisenga Uwimana,+254763590676,G-0019,2023-05-25
F-00174,Adhiambo Situma,+254756651785,G-0019,2025-05-26
F-00175,Okello Rotich,+254784953782,G-0019,2025-06-08
F-00176,Adhiambo Mukamurenzi,+254798206587,G-0019,2024-10-12
F-00177,Kipruto Rotich,+254732350060,G-0019,2024-09-18
F-00178,Wafula Barasa,+254793634546,G-0019,2025-03-17
F-00179,Nabirye Khaemba,+254738539942,G-0019,2024-04-01
F-00180,Ingabire Wanyonyi,+254765371299,G-0020,2024-04-03
F-00181,Habimana Mukamurenzi,+254708801902,G-0020,2025-06-06
F-00182,Wasswa Sifuna,+254755310376,G-0020,2025-05-19
F-00183,Auma Chemutai,+254721831236,G-0020,2024-05-18
F-00184,Chelimo Wafula,+254784637880,G-0020,2023-11-11
F-00185,Chelimo Situma,+254722352131,G-0020,2023-03-22
F-00186,Nafula Juma,+254786130000,G-0020,2024-05-01
F-00187,Wekesa Barasa,+254779186690,G-0021,2023-04-05
F-00188,Uwimana Wanyama,+254743288176,G-0021,2024-02-05
F-00189,Twagirayezu Makokha,+254719755674,G-0021,2025-02-08
F-00190,Cheruiyot Mukamurenzi,+254795836125,G-0021,2023-03-02
F-00191,Achieng Namunyu,+254786049845,G-0021,2023-03-05
F-00192,Namusoke Barasa,+254795828960,G-0021,2024-09-02
F-00193,Twagirayezu Otieno,+254744826792,G-0021,2023-03-13
F-00194,Nafula Rotich,+254757382830,G-0021,2023-11-06
F-00195,Ndayisenga Watulo,+254765556681,G-0022,2025-04-06
F-00196,Naliaka Ntawukuriryayo,+254749281896,G-0022,2023-05-31
F-00197,Nabirye Namunyu,+254709772360,G-0022,2024-01-21
F-00198,Nekesa Kiplagat,+254743432433,G-0022,2024-10-24
F-00199,Habimana Simiyu,+254776777970,G-0022,2024-03-27
F-00200,Nabirye Ntawukuriryayo,+254767117708,G-0022,2023-09-20
F-00201,Kiptoo Juma,+254792390574,G-0022,2023-03-23
F-00202,Uwimana Mutai,+254709984171,G-0022,2024-09-22
F-00203,Otieno Hakizimana,+254796324826,G-0022,2024-09-16
F-00204,Chepkoech Nsengimana,+254726937775,G-0022,2023-04-14
F-00205,Masika Kiplagat,+254749147977,G-0022,2024-07-29
F-00206,Habimana Simiyu,+254741094779,G-0022,2024-07-23
F-00207,Chelimo Uwimana,+254785220278,G-0022,2025-05-16
F-00208,Wafula Barasa,+254703102556,G-0023,2024-10-18
F-00209,Habimana Owor,+254740000746,G-0023,2023-08-15
F-00210,Okello Namulundu,+254749965152,G-0023,2023-09-12
F-00211,Nafula Wafula,+254762375201,G-0023,2024-06-21
F-00212,Kipruto Mukamurenzi,+254787280143,G-0023,2025-05-08
F-00213,Habimana Makokha,+254788132513,G-0023,2024-02-29
F-00214,Nafula Masaba,+254780608710,G-0023,2023-07-31
F-00215,Simiyu Nabukenya,+254728852366,G-0024,2025-04-03
F-00216,Odhiambo Uwimana,+254746624773,G-0024,2023-11-01
F-00217,Achieng Masaba,+254736179910,G-0024,2024-01-02
F-00218,Uwimana Kirya,+254797552806,G-0024,2024-02-20
F-00219,Kirabo Namulundu,+254781518065,G-0024,2023-11-13
F-00220,Cheruiyot Mukamurenzi,+254754803205,G-0024,2024-02-07
F-00221,Okello Nabukenya,+254762392744,G-0025,2025-01-05
F-00222,Ojok Juma,+254721170113,G-0025,2023-11-23
F-00223,Masika Barasa,+254749373009,G-0025,2025-03-29
F-00224,Wanyama Watulo,+254752624955,G-0025,2024-07-13
F-00225,Ojok Wekesa,+254736063712,G-0025,2023-03-20
F-00226,Nabirye Simiyu,+254710544268,G-0025,2024-06-04
F-00227,Nabirye Masaba,+254756961266,G-0025,2024-02-13
F-00228,Odhiambo Barasa,+254790351077,G-0025,2024-12-21
F-00229,Niyonzima Khaemba,+254779182333,G-0025,2023-06-26
F-00230,Twagirayezu Wafula,+254730000115,G-0025,2024-12-19
F-00231,Auma Wanyonyi,+254794549860,G-0025,2024-05-02
F-00232,Adhiambo Okello,+254729011501,G-0025,2024-12-02
F-00233,Masika Mutai,+254701518451,G-0026,2025-05-10
F-00234,Wanyama Nandwa,+254769896984,G-0026,2023-03-29
F-00235,Kiptoo Wekesa,+254781973737,G-0026,2025-05-25
F-00236,Twagirayezu Kirya,+254712345243,G-0026,2023-11-21
F-00237,Barasa Makokha,+254711147853,G-0026,2024-12-24
F-00238,Chelimo Hakizimana,+254714237078,G-0026,2024-06-26
F-00239,Masika Juma,+254783906454,G-0026,2025-02-21
F-00240,Amongi Uwimana,+254709432153,G-0026,2024-10-27
F-00241,Ndayisenga Situma,+254773365932,G-0026,2023-04-22
F-00242,Amongi Nabukenya,+254737058634,G-0026,2025-04-13
F-00243,Atieno Makokha,+254736762293,G-0027,2023-12-11
F-00244,Amongi Wangila,+254705066033,G-0027,2023-11-07
F-00245,Otieno Masaba,+254702587357,G-0027,2025-05-01
F-00246,Atieno Namunyu,+254783619366,G-0027,2025-02-17
F-00247,Amongi Wafula,+254702691010,G-0027,2025-04-16
F-00248,Habimana Wekesa,+254732655336,G-0027,2024-07-31
F-00249,Mukamana Makokha,+254780575593,G-0028,2024-11-28
F-00250,Ojok Nandwa,+254742203492,G-0028,2024-08-12
F-00251,Atieno Kirya,+254749917340,G-0028,2023-07-31
F-00252,Nakato Cherop,+254766568723,G-0028,2025-05-01
F-00253,Ojok Wanyonyi,+254741515580,G-0028,2024-04-25
F-00254,Jepkosgei Sifuna,+254771047556,G-0028,2024-04-22
F-00255,Simiyu Khaemba,+254736566767,G-0028,2023-10-21
F-00256,Musimenta Namulundu,+254797323937,G-0028,2025-06-23
F-00257,Wanjiru Wekesa,+254738408963,G-0028,2023-04-21
F-00258,Namusoke Uwimana,+254792004405,G-0028,2023-03-05
F-00259,Habimana Nabukenya,+254777482810,G-0029,2024-12-29
F-00260,Habimana Kiplagat,+254735353499,G-0029,2024-04-08
F-00261,Kirabo Masaba,+254727507932,G-0029,2024-01-18
F-00262,Okello Masaba,+254764395787,G-0029,2023-12-12
F-00263,Simiyu Uwimana,+254708265872,G-0029,2023-08-16
F-00264,Nafula Rotich,+254738569261,G-0029,2025-01-08
F-00265,Chelimo Simiyu,+254775820161,G-0029,2024-06-02
F-00266,Kirabo Rotich,+254732443190,G-0029,2023-07-17
F-00267,Nanjala Situma,+254737153598,G-0029,2024-05-26
F-00268,Wafula Wekesa,+254743029509,G-0029,2023-06-26
F-00269,Otieno Wafula,+254738023999,G-0030,2025-06-17
F-00270,Cheruiyot Sifuna,+254703484834,G-0030,2023-03-27
F-00271,Nekesa Bizimana,+254732000325,G-0030,2023-06-25
F-00272,Jepkosgei Nandwa,+254748313682,G-0030,2024-10-01
F-00273,Ingabire Rotich,+254722126143,G-0030,2024-06-06
F-00274,Kirabo Watulo,+254772989434,G-0030,2023-11-25
F-00275,Nakato Kirya,+254766404967,G-0030,2025-05-11
F-00276,Niyonzima Khaemba,+254746695059,G-0030,2025-04-08
F-00277,Wekesa Mukamurenzi,+254710134602,G-0030,2023-04-15
F-00278,Masika Khaemba,+254744183336,G-0030,2025-01-13
F-00279,Masika Wanyama,+254760634093,G-0031,2024-07-28
F-00280,Niyonzima Namulundu,+254702893917,G-0031,2023-12-04
F-00281,Kiptoo Uwimana,+254722451798,G-0031,2024-08-29
F-00282,Otieno Wangila,+254708537655,G-0031,2024-12-29
F-00283,Were Khaemba,+254723152677,G-0031,2024-10-01
F-00284,Nekesa Masaba,+254725799307,G-0031,2023-07-29
F-00285,Odhiambo Nabukenya,+254766548805,G-0031,2024-03-24
F-00286,Kipruto Juma,+254738794615,G-0031,2025-01-17
F-00287,Naliaka Namulundu,+254737800998,G-0031,2025-02-28
F-00288,Kipruto Wekesa,+254735575815,G-0031,2025-03-22
F-00289,Nafula Watulo,+254734707966,G-0031,2024-01-26
F-00290,Ingabire Wafula,+254748889276,G-0031,2025-04-16
F-00291,Chepkoech Barasa,+254732018358,G-0031,2024-11-29
F-00292,Namusoke Cherop,+254740737144,G-0031,2023-12-18
F-00293,Kiptoo Nandwa,+254798627914,G-0032,2024-11-23
F-00294,Otieno Wanyama,+254753060566,G-0032,2023-07-01
F-00295,Auma Kagabo,+254756019092,G-0032,2023-06-28
F-00296,Nakato Ntawukuriryayo,+254796308300,G-0032,2023-06-11
F-00297,Chelimo Barasa,+254798733108,G-0032,2023-05-16
F-00298,Nafula Barasa,+254713361406,G-0032,2025-03-02
F-00299,Nabirye Rotich,+254726512032,G-0032,2023-08-20
F-00300,Atieno Otieno,+254725857240,G-0032,2023-12-22
F-00301,Wafula Nabukenya,+254720455461,G-0033,2023-06-08
F-00302,Kipruto Uwimana,+254730302956,G-0033,2025-02-15
F-00303,Ndayisenga Sifuna,+254792386485,G-0033,2023-06-24
F-00304,Auma Namunyu,+254752732440,G-0033,2023-05-13
F-00305,Wekesa Owor,+254748454170,G-0033,2024-12-10
F-00306,Cheruiyot Watulo,+254789616987,G-0033,2024-09-28
F-00307,Were Wekesa,+254776981396,G-0033,2023-07-10
F-00308,Jepkosgei Uwimana,+254771350345,G-0033,2023-03-04
F-00309,Mutesi Wangila,+254722390792,G-0033,2023-06-20
F-00310,Okello Mukamurenzi,+254710485210,G-0034,2024-02-07
F-00311,Ingabire Masaba,+254764154235,G-0034,2024-08-20
F-00312,Twagirayezu Simiyu,+254749754088,G-0034,2023-03-30
F-00313,Nakato Otieno,+254716649840,G-0034,2024-11-20
F-00314,Nasimiyu Wanyonyi,+254786712875,G-0034,2024-02-10
F-00315,Odhiambo Barasa,+254764845719,G-0034,2024-11-28
F-00316,Masika Juma,+254767332718,G-0035,2024-11-05
F-00317,Kirabo Omondi,+254763925706,G-0035,2025-04-01
F-00318,Auma Situma,+254798953171,G-0035,2024-02-27
F-00319,Wafula Kirya,+254768475198,G-0035,2024-11-29
F-00320,Habimana Owor,+254795469246,G-0035,2023-10-17
F-00321,Ingabire Nandwa,+254721245748,G-0035,2024-02-24
F-00322,Kirabo Uwimana,+254740003461,G-0035,2023-05-02
F-00323,Wanyama Khaemba,+254733331750,G-0035,2024-11-16
F-00324,Wanjiru Kirya,+254788917981,G-0035,2024-10-26
F-00325,Were Ntawukuriryayo,+254797553222,G-0035,2025-06-20
F-00326,Kiptoo Rotich,+254712631237,G-0035,2023-07-17
F-00327,Nekesa Kirya,+254795745766,G-0035,2024-10-06
F-00328,Cheruiyot Simiyu,+254735112864,G-0035,2024-11-11
F-00329,Kirabo Nandwa,+254778600679,G-0035,2024-01-22
F-00330,Twagirayezu Situma,+254725702354,G-0036,2024-01-06
F-00331,Kiptoo Ntawukuriryayo,+254716636067,G-0036,2023-12-27
F-00332,Uwase Namunyu,+254708389039,G-0036,2024-05-17
F-00333,Chepkoech Bizimana,+254798609508,G-0036,2024-03-26
F-00334,Barasa Otieno,+254729442085,G-0036,2023-10-27
F-00335,Kiptoo Khaemba,+254743905368,G-0036,2025-03-23
F-00336,Achieng Sifuna,+254784263532,G-0036,2024-02-12
F-00337,Jepkosgei Mutai,+254714687375,G-0037,2025-06-08
F-00338,Wanyama Wafula,+254735319916,G-0037,2025-05-09
F-00339,Mutesi Mukamurenzi,+254781203694,G-0037,2024-04-21
F-00340,Cheruiyot Makokha,+254749156179,G-0037,2024-07-06
F-00341,Atieno Barasa,+254767672150,G-0037,2024-03-08
F-00342,Twagirayezu Nandwa,+254729742227,G-0037,2025-02-13
F-00343,Mukamana Chemutai,+254790154132,G-0037,2024-05-30
F-00344,Kiptoo Kirya,+254727206032,G-0037,2024-12-25
F-00345,Amongi Uwimana,+254762253049,G-0037,2024-02-17
F-00346,Wanyama Watulo,+254744335482,G-0038,2024-07-24
F-00347,Habimana Nsengimana,+254717278740,G-0038,2025-05-15
F-00348,Were Mukamurenzi,+254796158052,G-0038,2024-06-06
F-00349,Chepkoech Juma,+254712757023,G-0038,2025-06-01
F-00350,Achieng Wanyama,+254702208271,G-0038,2025-03-29
F-00351,Okello Otieno,+254770322328,G-0038,2024-08-21
F-00352,Atieno Barasa,+254789783699,G-0038,2024-12-05
F-00353,Kiptoo Masaba,+254723030596,G-0038,2024-05-01
F-00354,Kipruto Simiyu,+254765952557,G-0038,2023-07-31
F-00355,Nanjala Juma,+254763990162,G-0038,2024-08-22
F-00356,Uwase Wekesa,+254796316936,G-0039,2025-04-03
F-00357,Namusoke Rotich,+254747162641,G-0039,2023-09-05
F-00358,Kipruto Barasa,+254791022571,G-0039,2025-02-28
F-00359,Uwase Barasa,+254702148278,G-0039,2024-02-21
F-00360,Musimenta Uwimana,+254781667181,G-0039,2024-09-11
F-00361,Uwase Mutai,+254786216387,G-0039,2024-12-26
F-00362,Odhiambo Nsengimana,+254737290748,G-0039,2023-10-18
F-00363,Wekesa Wanyonyi,+254738106655,G-0039,2025-02-27
F-00364,Chepkoech Situma,+254742556230,G-0039,2023-05-22
F-00365,Achieng Owor,+254776320342,G-0039,2024-02-03
F-00366,Kiptoo Ntawukuriryayo,+254713754593,G-0040,2024-02-16
F-00367,Were Nandwa,+254716921384,G-0040,2023-12-20
F-00368,Ingabire Hakizimana,+254751192592,G-0040,2023-06-02
F-00369,Barasa Namulundu,+254743563261,G-0040,2024-07-22
F-00370,Achieng Barasa,+254770862002,G-0040,2024-07-14
F-00371,Ndayisenga Mukamurenzi,+254744143621,G-0040,2024-01-29
F-00372,Niyonzima Wafula,+254763055361,G-0040,2024-08-28
F-00373,Kirabo Masaba,+254738742267,G-0040,2024-08-31
F-00374,Achieng Kirya,+254756669742,G-0040,2023-03-24
F-00375,Mugisha Wafula,+254747154747,G-0040,2024-01-02
F-00376,Naliaka Hakizimana,+254758442943,G-0041,2023-05-05
F-00377,Mutesi Okello,+254787206285,G-0041,2024-09-29
F-00378,Naliaka Barasa,+254733394583,G-0041,2023-12-16
F-00379,Ndayisenga Situma,+254748302880,G-0041,2024-06-25
F-00380,Adhiambo Kirya,+254775655608,G-0041,2024-11-24
F-00381,Chelimo Wafula,+254718394415,G-0041,2025-06-04
F-00382,Wanyama Sifuna,+254752426266,G-0042,2024-08-20
F-00383,Chepkoech Situma,+254700133415,G-0042,2023-07-25
F-00384,Wasswa Owor,+254756182808,G-0042,2023-12-21
F-00385,Wanjiru Omondi,+254751181490,G-0042,2023-09-09
F-00386,Mugisha Juma,+254749339838,G-0042,2023-11-29
F-00387,Nasimiyu Hakizimana,+254734052144,G-0042,2023-03-29
F-00388,Cheruiyot Nsengimana,+254739243836,G-0042,2025-04-07
F-00389,Mugisha Sifuna,+254786966162,G-0042,2024-06-01
F-00390,Amongi Juma,+254743023365,G-0042,2023-08-04
F-00391,Nakato Situma,+254755984918,G-0042,2023-12-31
F-00392,Namusoke Nandwa,+254714333279,G-0042,2023-07-22
F-00393,Mutesi Nabukenya,+254711251752,G-0042,2024-06-21
F-00394,Simiyu Wangila,+254787537709,G-0042,2024-09-01
F-00395,Niyonzima Nandwa,+254761296250,G-0042,2023-10-22
F-00396,Kiptoo Kirya,+254757852137,G-0043,2023-07-08
F-00397,Wanjiru Mutai,+254717905359,G-0043,2025-06-24
F-00398,Nekesa Okello,+254775848733,G-0043,2023-04-13
F-00399,Nasimiyu Okello,+254769811663,G-0043,2024-07-28
F-00400,Ingabire Bizimana,+254759881262,G-0043,2025-01-31
F-00401,Wanjiru Otieno,+254705908040,G-0043,2025-02-06
F-00402,Kiptoo Kirya,+254747039796,G-0043,2024-10-10
F-00403,Barasa Makokha,+254780593940,G-0043,2023-08-03
F-00404,Twagirayezu Kagabo,+254773349254,G-0043,2025-03-11
F-00405,Okello Cherop,+254702238472,G-0043,2023-05-10
F-00406,Wafula Wanyama,+254782538309,G-0043,2023-05-12
F-00407,Mukamana Kirya,+254708710838,G-0044,2024-03-17
F-00408,Wekesa Nandwa,+254787293801,G-0044,2024-10-05
F-00409,Mugisha Cherop,+254701086316,G-0044,2025-04-06
F-00410,Masika Namunyu,+254729000488,G-0044,2025-01-28
F-00411,Uwimana Otieno,+254795421276,G-0044,2024-07-14
F-00412,Mutesi Ntawukuriryayo,+254728144711,G-0044,2023-05-31
F-00413,Namusoke Uwimana,+254741834113,G-0044,2025-02-08
